package_name,binary_name,version,os,arch,package_sha1,package_sha256,binary_sha1,binary_sha256
rclone-v0.96-freebsd-386.zip,rclone,v0.96,freebsd,386,89b91e9326e2ca04639981b9f3e5d9be2a71098b,94106682f553567f732e180a6a8a3b73334d0ea8043bf5a4a0bfcc79634b692e,758f7d33bab3f7d51e9350673a6e02f63c907318,c7e28e3b90695eee2d06eac2056931cfe0f75a4618a0ffcbe1a52ed9c531cf36
rclone-v0.96-freebsd-amd64.zip,rclone,v0.96,freebsd,amd64,724975bac39eaf81da728f2f2e5383894960995a,5172ab3d8519c56d7fc1ac8de7ba8aea573b0861f330d478234411eb3dca12c9,03a5d6ade6f4e8dce92f6a26f7881aff35ff7458,5184cbe10015c4b60bc4ef8d6a8f582abbb4d2dd7ef64c6a7d715b37c23b0953
rclone-v0.96-freebsd-arm.zip,rclone,v0.96,freebsd,arm,7b1934c0c4a6d860e1faaed2805eed7a51289f99,1072b80a8e763658a1298e31efb7a12b5fbb1a54a06b5a5ce9d81a28b29b8122,3d860e09ad83bc5bf26edaabccc2bc9b827a0430,d60ee42036df0cb5065ac040af5c71c3abea054a93bea291e11bf18ee0bf77af
rclone-v0.96-linux-386.zip,rclone,v0.96,linux,386,3aaebb2202583b79d802f01cfa3a262806e818bc,6172317e08c85ed1f0c6fc1ccf490b8a1ad531ed6bd23ca9836f192764cc581b,7fd4ef5da4af599c16a05d0fffc239dd04fbfe87,edb5e045a81531ab836995d804fd4d046949d46aba099d6ccdbb17fa6c8d8a86
rclone-v0.96-linux-amd64.zip,rclone,v0.96,linux,amd64,cc7f98f98a4d848ca727e747df8691e363b98389,82cbe077efad14c7096439f1a5c809ef01831ea2bbb9512f2f9430d784e8e2db,4158588e99ca0fbb3ac081b115370433fc963467,88fa3d51ad8f05d4b8d652672c19eac12ab77c7ac8c50b92bbf511cd1ac6fa7f
rclone-v0.96-linux-arm.zip,rclone,v0.96,linux,arm,5c80540d66b089fc889e2118c04c171f1a3e97ea,cbe48db9768c80a7650f3f77398b8b2e1cf32083bdc602ef24628ff2031db1ef,eebb6c8dba9f1ef3c3f2d64f81cc639bc3ba9830,9e04d6d08f4671e42bfbc2fc2d1ac2dab8aef28ef07673849203898c4c92d89e
rclone-v0.96-netbsd-386.zip,rclone,v0.96,netbsd,386,bbc2bcaef0139d27a208e3d7b22790f99f941b98,8ca9081f2dab120d6fc599c96ef0b234df648f5c0e4c7302e9dbaf2ba02bd3fe,0681546aa3058b9ca6f9b43c85c70d86cf01c700,274aa557ab575c77170208c259cd06d1a89db0eb007cbd60229143a21a5f4798
rclone-v0.96-netbsd-amd64.zip,rclone,v0.96,netbsd,amd64,4821a82ebc2a2a762a899e9fa2e77de698249a5f,49bbfacb170ec87b710dae1c6356b6f51f5522197354eed19cf4b049e09c0e87,11429898c2d9855f133b4505fc180ba175832a8e,fe4116a00f2b4b6c7e325ea8568898253bc17e40139ad4bebc179272c7c738b0
rclone-v0.96-netbsd-arm.zip,rclone,v0.96,netbsd,arm,e9cd94a5f6373c8486dfbcb285a0b01d779b16b9,81fd316be1d55f033eae138c6da4e6995d0a3b904286b3ec936d588c9bafa655,49bebf0373bde1cce2bd1429bc240fe4886f0fcb,be28956eb828e0d521f7cce58d90e45599541c41b2551bab04ebdb28581983e3
rclone-v0.96-openbsd-386.zip,rclone,v0.96,openbsd,386,59ca8418bd69d16af8bffa65b7356fac2cd3b524,7d000b077d8d6ceb226bcc4142fe6be62b958f75a7027a59b47d2fdcf088348b,7cb1297db894230952af7e936ed91098d067cf99,0d6355bf8905fdf33784a4571ba8d0c9315289ea9d97d4319e18347901732dfd
rclone-v0.96-openbsd-amd64.zip,rclone,v0.96,openbsd,amd64,30a4fcb9ebfc6f94813d45ddcc19e36c7ef6895b,b8cc1213eefbdfe842b765be2a33888ff0d0680740f54553be0be9bfd369860b,20bd3bc0ecc25ff81563ca4e8a9a3b3f9b443ca5,27aaec960f62f2bac03fc2be2b674890d375ac381a205fd7e40fa3a4bcea4611
rclone-v0.96-osx-386.zip,rclone,v0.96,osx,386,b20c26a21a5770846d5660d54743f9c2a689b28c,98c4e391ed3dcd809a805b986aad8fc425b80274313ebc9f5f053c268f580a67,8397a4969b579081c353cdb82afbae9463ea9408,4b4b009684d390cb85b6976f5ebb337c4dcafc49d770adfd858236afcedc5dbe
rclone-v0.96-osx-amd64.zip,rclone,v0.96,osx,amd64,218aae76576719da0a8264277cad9ad5d3e0913d,b543ce66e8afaa720ad9af262b7f3a3b784ccd51aca703887d71e4f13b0db56f,a626dee59f60ef36900c1596c829b133f3310c48,2ad7a1d8df2a990f4ac3349eee6238f1293bf06b34945ef6f02eba733fa2c18a
rclone-v0.96-plan9-386.zip,rclone,v0.96,plan9,386,b5610fb46f486f8474eca563e6335ea0e93bfcfb,5d609ffa948495d8a298bff9d87ebe35afdeb962935217eaff5aa3bc0e3c267b,a2ecf5c93b4bec9e240106ddb2c05618e759741e,bdddb18b778241f588e62f5db1affe2a4e8cedf5e6e53698aeeb782ff3051a00
rclone-v0.96-windows-386.zip,rclone.exe,v0.96,windows,386,ebfadfb5bd997afe93150209e64ca9f29e8a675e,8c8ecbc84625149e18e588bb09c2a3b0cb9da9c08917bfe0e7ee83aa9c56b1ca,713d4a18177e9091c91a1e885d846e084fd19ebe,3f96c6ae1187a4bfbb86e232b662ff6f593c09ebaae9ed5ba180722d5a82493e
rclone-v0.96-windows-amd64.zip,rclone.exe,v0.96,windows,amd64,6360a44b317d0cd6606b5a4cd264b204a9481303,5aacce479e7073e7ae34f31926983719d14556c41fd0f816505a0dbc5fcd4b0e,c7f41e8349d93f581704fc7d46a0a86451b701bf,d5f095339cc941b211c25d3ff4d4a732b9db955363e29936acf174cd34465969
rclone-v0.97-freebsd-386.zip,rclone,v0.97,freebsd,386,d7274a5444a36ed0dd83a9e22f82ae0989704f7b,84b33591d573f0de549adab54e52e805a1e833d2ac985859e9bcd44a05fd1cd3,abca95d4f970a459645802f62dfe630822f9d275,b47e68e4f3d57159475d72a0f034adaef524443271172c31f22c67efe6e9dc52
rclone-v0.97-freebsd-amd64.zip,rclone,v0.97,freebsd,amd64,3ebae630589fb496177b50f322a05f48484f994d,f03ccf17c0a6e4d90503b5816f702fcfb89ebc094b7f08e49b345072602cbdbd,b65a531bd96e6ff701ff05410a9243842e4ee8e6,5b5216be4b313ff617ef65c767dd92bbadcf963b49c562386a8cebdbd4f97c1f
rclone-v0.97-freebsd-arm.zip,rclone,v0.97,freebsd,arm,0518816e838b1598f58aba9282b82224afdebe83,bebebad2d304ee6f7c7c658e20348e39b8ff4f71a1feccc1ccf58e4d2c8447fb,74a186285b5c002d77792f18cf447ad1daf8c775,136d531b17c7576269a5521649604032aa1f27a2924b0cf19ed4dd4933a99353
rclone-v0.97-linux-386.zip,rclone,v0.97,linux,386,ce252527f6eac99767bef1a22ec637ffea7f32bc,11f0aa16d25652a9708322af1cc584407147aa0e090e7fb586bec30e78e36fa0,66f0adf4d04db7540b1cfa483b31d2b8dc711841,6b1eabbecb7a7ba9d61859c4c10092ede7a4545a59c17b8305b1a78853bfdccd
rclone-v0.97-linux-amd64.zip,rclone,v0.97,linux,amd64,a16c1745a00aa488957fe6566b8e3d3af53c7566,0e6274344af5fe15c3e5f2605fcad5fa441fe7bae682cdbab80c0eb48f13b60b,151553fca4332d8d074b80b15755e0dc102bb50a,38d3247d1713284ccf7647e3d56e390e64f5e7aed5497807891f4dd4251d4685
rclone-v0.97-linux-arm.zip,rclone,v0.97,linux,arm,6638fbdbd2170ff7c367642145b9bd05924a8359,0c634723c9a19da3d83dd3aae6b5607c2c4bbb240a6374170b631d1ca3502128,2bc9a6daaf08369e897b2f28d5089a0f5201d5b5,e75bc0ab49bfc8f60346f0149afb758242ccc65c2525820d3050bed40d1b07b1
rclone-v0.97-netbsd-386.zip,rclone,v0.97,netbsd,386,acca95a64b65eafc1374b228f80312a1efde5ce5,9069260b37a77bf3763206f96b00da22316d556b6e4c77e1635e81a4ea5d3618,8fdd2ea6d5cc7ade788d09ae88160550c95ea53c,5451e0984628cb4d75f81984f961dd59a4df14789a32257f8450b499041d8752
rclone-v0.97-netbsd-amd64.zip,rclone,v0.97,netbsd,amd64,b188412ff95d9ad50f319f28e71300f06ee05dd1,a56e81265b4edd0b2f8201b767ec6afa1604efbb12e47650c1ee024d15c58254,751f15b7f9e050cc379e1e42934aa798a9023354,5930244a877c2d0a37ae0333d18f50fcb3e76d1b7906aa3164f03b4ae927c18b
rclone-v0.97-netbsd-arm.zip,rclone,v0.97,netbsd,arm,ed04ff40befabeb738ae9d71b8cc705d573a4872,86d02403740734509196b0afbc811ec79abe86ab5462deacb80eb0364d5dd0f7,832dbe5871eb55117c84b1b8c075a7ae62a6491a,605eb2541354a2a24e7cc7c9df43bea2fcfed499f528ec20a91c499a74b902b0
rclone-v0.97-openbsd-386.zip,rclone,v0.97,openbsd,386,d8cfbb5eb553ecdf524355e3b92cc52c2f853686,f2fc8af82d115f70ca8e90995880d7c1428c73822e9b0766f69a02647eb3b927,1cc59a25a9bf214545c125524379128c4eaba41c,50c1e8c46a92170491118f1bc64ecfedd1eabe6a0441140e56c89ee7ab020f48
rclone-v0.97-openbsd-amd64.zip,rclone,v0.97,openbsd,amd64,94e434532210dab007c144cc6cc506313f42a4d0,da67f92f5cbf302c50a6c9e0f09dbb1da3c6c459939e475b232c3ba260794eee,64e14fae1873b3e314e249c4ac13fcadc558f7ba,b6347bae3105e1ed3b59556043c2cc6973f41573e241867f08ad2f1f12f6bd70
rclone-v0.97-osx-386.zip,rclone,v0.97,osx,386,cd86e70c558b1be5698922544bf4570f061793bf,cf2e6b75d044d06cb815968d1873893e9aec83831c5d00a34769ecca9a61c162,b16af5712ee28ab8598bebc6b8a3059a8f7ea89d,35137db78fdb345d85f6f8b8b6b7972e8ebe67a5a046098490ce0caa3e8e78a8
rclone-v0.97-osx-amd64.zip,rclone,v0.97,osx,amd64,14bae267a05a710814f1467433a81fb321b6c19f,e42261e7a207dc8a3b9de0e4c70d75eddcd2a8e67d97bc1ad28b0df24fa6f3ff,54e441288db07f13cc31ad0988863f213928909f,a3acf94afa6c463c2c7542d0efc8828cb6ca9c961bb2350cb92d5f58163958bb
rclone-v0.97-plan9-386.zip,rclone,v0.97,plan9,386,14097578dbaaeb7f0535224d4255c8c0f28501f8,8b90653ea6aa459d4bd6c9e189dd17465ec729f7efa66b1bc1a9738a1b5505d7,e802e5b418f20c26ae6a040d407aedd552d2662e,299cd3ea9e668074ea2377cb626c06b7cfafa13b56517deb8a80321c6c511907
rclone-v0.97-windows-386.zip,rclone.exe,v0.97,windows,386,ee8cb591b8e3905d8065ab6887121b3f87284e4c,0ec3458dbe25c9d9b4dc94b83c1499bd8b6e48c050dc8c70ae38febad9508ba1,f11acf701130422f0b291e74a29b5c0c82967e22,f94cad3fae7110a8ef80596264fccd2052ef9fdacd3b4c595fbaea67693345ad
rclone-v0.97-windows-amd64.zip,rclone.exe,v0.97,windows,amd64,d41725ff5c1d114107e5ade2e2bdff7b54e8244d,8e4db47ea20b3ce9ab090c2052a5fe1c6d25cc9abe4769813a2fd32eaa76d615,575ed20f418d6c84d74c527c40d098c7c145ba49,89ef616eb9e00a8da61ed478728853983893d3117fd5419e60c90a8015994114
rclone-v0.98-freebsd-386.zip,rclone,v0.98,freebsd,386,780d5cf263e96becd6e850b5d57e3486508fdd4d,49c3960e5da37b87965c54957ba92e49b305c198b47469f99297d730961a22c7,97fc41f2bf61e083bb4a47d18b92316520685fbd,e2d46a04731f180fe69c2b3e7e1bc8d700cc08b46ff732eec5369bb9d39c9952
rclone-v0.98-freebsd-amd64.zip,rclone,v0.98,freebsd,amd64,ab0122edffc83a82a9f1fc17fc5979dd4c5ff03a,e2be05eddc01d61378e6893b141b13860643625315df549d6231a0ddba5ade65,871af97a7deedb98c6a9019dbf236fc6f15142fc,64fec87dd324c09989682c767c43171ba143fbe37ced3d335193956add83cccd
rclone-v0.98-freebsd-arm.zip,rclone,v0.98,freebsd,arm,9350403c9524b34de7d2577727cc5fb16156ca93,cb48b09f4e43cb8ab4e7d717f141a7d97cb6a51f3e0bb11674377695315cdb80,23b385de950c41615c2cdeeac6138c7dbe3592da,91b4262ae6203ba3eb0ef6f9f7a21c5aab52777572479ccf0a8b14fd978670cd
rclone-v0.98-linux-386.zip,rclone,v0.98,linux,386,da439c3fc3f8836d56095890e00007b3fa36fdb1,e06a956a4714a12994b2cb58eca173c588c942a89f2bde50e6d4998e19c5ab0a,ecb163c90e4a0403ac06ec51926758bd315cbf66,ef53a283d006024346af5af7d87858fe4032a9166fbc15e5d46a79cc4ea43d70
rclone-v0.98-linux-amd64.zip,rclone,v0.98,linux,amd64,f7ea7f753fdf76fadbba2602d66c6aaa1c34d180,d9b699e350d2d3416e4d9823db2a62e30bf929585f13f738d19aa08be44aae4c,448c1983c4594c14a1fd109c53869e483a416d32,58bc93f18181b88ab1c2aea7991f5a661d2f99ff0db1c3e0659331df66ddef49
rclone-v0.98-linux-arm.zip,rclone,v0.98,linux,arm,83cbd6dd0fc490d827b9c50d91108e85bb05c6d4,3cefba4ed995f379ded7c0dcdf90be36e278c348c9b0189c3f80cef62bc833a0,2691a1577eb2656de3feebafc0c7567cfd9d0fb5,75c54238225a507702c4c3563477976fb342940f6417a1e973e10f51b4b17c11
rclone-v0.98-netbsd-386.zip,rclone,v0.98,netbsd,386,a1caac4b3ed8a28cc5360cb36ac5348318543370,770dd38a47e73bddeed2e6bedffa901d3e91aead4e342648c769d1a99d17ed6a,d386502b57bdfb64c181b835c9948e80e131dfb6,f6965792ff18975a71ee2aa4a35e52dad7891c252be3767274c55ef68c4a8fbe
rclone-v0.98-netbsd-amd64.zip,rclone,v0.98,netbsd,amd64,6918ab4cd3beb13c128d1214815105e9802f6a8e,7eec772e601bc77d38b94ca98f67c04465b3387084e2b4f1a670cb45a382177c,fc6b2e16f8696382982d143cefbb58ca94c59576,f5505774440739172fa5990221beb9a8acad8721db90fa7b5264798b2b82c5d5
rclone-v0.98-netbsd-arm.zip,rclone,v0.98,netbsd,arm,515d7674b2919574058d3d2806abfc975ca74340,000652ca6b5808812c66a85cb070fd8986f54a9f50f7ae6fc51f9bdbed02f062,7640dc14b91fc597ce3b8f1f78b9bd553195a0ed,e68e432d6fa82f7aacda170c2b8c003dd37242c1dd16917e38e1c26e5a077c53
rclone-v0.98-openbsd-386.zip,rclone,v0.98,openbsd,386,4805d42f7acc66c22d4a52d0214ca6daa856ffd7,82ae98bc11d66c70e7fc1a3ce64575e7ba5c27f31724215008e5f6f3f04a3653,6083ea3ed3fad2a5f274820b3d0690591e8107e0,60bdd41c3d4c636b87a7fdcada98be038f73626743fc293f167fbf8c053d75f4
rclone-v0.98-openbsd-amd64.zip,rclone,v0.98,openbsd,amd64,b96b5db3fa6f4995261b6f30bba6565f96296e41,9061df59c3ee23572b1363eb477d82605614b2b576208a2db8d34a4b0a77a5b9,573414a012e021032320eff4d373ad95b61334bd,c88cd10c76285d924231ac966661c968b41d452211527b5066b91e881aef7fed
rclone-v0.98-osx-386.zip,rclone,v0.98,osx,386,072d137a566c4d35db5b8b925adacbb1726b91b6,22f120a76660828e8e21a0e66b4d62a0492e98b0fff182b27797c06d6c4c489b,0233908d6ce8d5aeddd08836057acf735354ad08,b8b32bda6a6f436a1fbaac8ddb0ca99811f96ae10e67d4ba72869270a33962f2
rclone-v0.98-osx-amd64.zip,rclone,v0.98,osx,amd64,a420e4923c9e6fde7cc7e032e58d1b4ff558d4e1,fdd3ec365ede346dad9c5e83f6e4b9ac51649027e9a72fd669cdd5f764a2977e,c2d121f864fc2d30725d5cb4f42bd0fd1c86e796,225a6bec99d80f666123baae2b5307ee917cb32578961ef00fcff64ea5305335
